Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects
19-24,Normal,Normal to Oily,No,Dark Spots,General,Alpha Arbutin + Niacinamide + Licorice Extract,8% + 3% + 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
19-24,Normal,Normal to Oily,No,Dullness,General,Lactic Acid + Green Tea Extract + Niacinamide,2% + 8% + 0.5%,"Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Normal,Normal to Oily,No,Hyperpigmentation,General,Licorice Extract + Niacinamide + Alpha Arbutin,1% + 0.5% + 8%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Normal,Normal to Oily,No,Open Pores,General,Clay + Green Tea Extract + Azelaic Acid,10% + 2% + 5%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
19-24,Normal,Normal to Oily,No,Redness,General,Chamomile Extract + Green Tea Extract + Centella Asiatica,2% + 10% + 1%,"Calms redness and irritation, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier"
19-24,Normal,Normal to Oily,No,Sun Tan,General,Niacinamide + Alpha Arbutin + Licorice Extract,3% + 10% + 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
19-24,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Niacinamide,10% + 2% + 3%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Normal,Normal to Oily,No,Wrinkles,General,Niacinamide + Peptides + Coenzyme Q10,1% + 3% + 2%,"Reduces inflammation and regulates sebum, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair"
19-24,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid + Zinc PCA + Green Tea Extract,8% + 0.5% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Dry to Normal,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Azelaic Acid,5% + 10% + 0.5%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
19-24,Dry,Dry to Normal,Yes,Acne,Nodular,Green Tea Extract + Benzoyl Peroxide + Zinc PCA,1% + 8% + 5%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Controls sebum production"
19-24,Dry,Dry to Normal,Yes,Acne,Cystic,Benzoyl Peroxide + Niacinamide + Zinc PCA,10% + 1% + 0.5%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Vitamin K + Licorice Extract + Hyaluronic Acid,3% + 10% + 8%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
19-24,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Vitamin K + Niacinamide + Caffeine,1% + 3% + 2%,"Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
19-24,Dry,Dry to Normal,Yes,Dark Spots,General,Kojic Acid + Niacinamide + Alpha Arbutin,0.5% + 5% + 8%,"Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Dry,Dry to Normal,Yes,Dullness,General,Lactic Acid + Hyaluronic Acid + Green Tea Extract,0.5% + 5% + 2%,"Gently exfoliates and improves skin radiance, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Alpha Arbutin + Tranexamic Acid + Vitamin C,10% + 3% + 8%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation"
19-24,Dry,Dry to Normal,Yes,Open Pores,General,Clay + Azelaic Acid + Salicylic Acid,8% + 1% + 0.5%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
19-24,Dry,Dry to Normal,Yes,Redness,General,Centella Asiatica + Chamomile Extract + Aloe Vera,10% + 1% + 8%,"Soothes irritation and repairs skin barrier, Calms redness and irritation, Soothes and hydrates irritated skin"
19-24,Dry,Dry to Normal,Yes,Sun Tan,General,Niacinamide + Aloe Vera + Licorice Extract,5% + 2% + 8%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone"
19-24,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide,8% + 10% + 3%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
19-24,Dry,Dry to Normal,Yes,Wrinkles,General,Peptides + Niacinamide + Hyaluronic Acid,3% + 2% + 1%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
19-24,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Green Tea Extract + Niacinamide,0.5% + 2% + 5%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Dry,Dry to Normal,No,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Green Tea Extract,2% + 3% + 8%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Dry to Normal,No,Acne,Nodular,Niacinamide + Zinc PCA + Azelaic Acid,10% + 3% + 1%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture"
19-24,Dry,Dry to Normal,No,Acne,Cystic,Azelaic Acid + Green Tea Extract + Benzoyl Peroxide,2% + 10% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
19-24,Dry,Dry to Normal,No,Dark Circles,Pigmented,Vitamin C + Licorice Extract + Niacinamide,8% + 10% + 2%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
19-24,Dry,Dry to Normal,No,Dark Circles,Vascular,Niacinamide + Licorice Extract + Vitamin K,0.5% + 5% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
19-24,Dry,Dry to Normal,No,Dark Spots,General,Niacinamide + Alpha Arbutin + Kojic Acid,2% + 8% + 5%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
19-24,Dry,Dry to Normal,No,Dullness,General,Green Tea Extract + Lactic Acid + Vitamin C,5% + 8% + 2%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation"
19-24,Dry,Dry to Normal,No,Hyperpigmentation,General,Licorice Extract + Niacinamide + Tranexamic Acid,10% + 0.5% + 5%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Dry,Dry to Normal,No,Open Pores,General,Clay + Green Tea Extract + Azelaic Acid,0.5% + 2% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
19-24,Dry,Dry to Normal,No,Redness,General,Centella Asiatica + Green Tea Extract + Aloe Vera,1% + 2% + 10%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Soothes and hydrates irritated skin"
19-24,Dry,Dry to Normal,No,Sun Tan,General,Licorice Extract + Niacinamide + Alpha Arbutin,1% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Zinc PCA,3% + 5% + 1%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Controls sebum production"
19-24,Dry,Dry to Normal,No,Wrinkles,General,Retinol + Peptides + Hyaluronic Acid,2% + 1% + 0.5%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin"
19-24,Dry,Extreme Dry,Yes,Acne,Comedonal,Niacinamide + Salicylic Acid + Green Tea Extract,5% + 10% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Extreme Dry,Yes,Acne,Inflammatory,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,0.5% + 1% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Extreme Dry,Yes,Acne,Nodular,Green Tea Extract + Niacinamide + Salicylic Acid,8% + 3% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,Yes,Acne,Cystic,Benzoyl Peroxide + Zinc PCA + Green Tea Extract,1% + 3% + 10%,"Kills acne-causing bacteria, Controls sebum production, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,Vitamin C + Caffeine + Licorice Extract,0.5% + 3% + 10%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
19-24,Dry,Extreme Dry,Yes,Dark Circles,Vascular,Vitamin C + Hyaluronic Acid + Licorice Extract,1% + 8% + 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
19-24,Dry,Extreme Dry,Yes,Dark Spots,General,Alpha Arbutin + Licorice Extract + Kojic Acid,10% + 3% + 5%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration"
19-24,Dry,Extreme Dry,Yes,Dullness,General,Hyaluronic Acid + Vitamin C + Niacinamide,8% + 2% + 10%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,Yes,Hyperpigmentation,General,Vitamin C + Niacinamide + Licorice Extract,5% + 8% + 10%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
19-24,Dry,Extreme Dry,Yes,Open Pores,General,Salicylic Acid + Azelaic Acid + Niacinamide,10% + 3% + 5%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,Yes,Redness,General,Niacinamide + Chamomile Extract + Aloe Vera,5% + 3% + 2%,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes and hydrates irritated skin"
19-24,Dry,Extreme Dry,Yes,Sun Tan,General,Aloe Vera + Vitamin C + Niacinamide,10% + 8% + 3%,"Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,Salicylic Acid + Zinc PCA + Willow Bark Extract,2% + 10% + 5%,"Unclogs pores and removes excess oil, Controls sebum production, Naturally exfoliates and clears pores"
19-24,Dry,Extreme Dry,Yes,Wrinkles,General,Coenzyme Q10 + Hyaluronic Acid + Retinol,10% + 8% + 1%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles"
19-24,Dry,Extreme Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,8% + 2% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria"
19-24,Dry,Extreme Dry,No,Acne,Inflammatory,Niacinamide + Azelaic Acid + Salicylic Acid,10% + 8% + 0.5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Acne,Nodular,Niacinamide + Zinc PCA + Salicylic Acid,8% + 1% + 10%,"Reduces inflammation and regulates sebum, Controls sebum production, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Acne,Cystic,Niacinamide + Azelaic Acid + Zinc PCA,0.5% + 8% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production"
19-24,Dry,Extreme Dry,No,Dark Circles,Pigmented,Niacinamide + Licorice Extract + Vitamin K,2% + 10% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
19-24,Dry,Extreme Dry,No,Dark Circles,Vascular,Vitamin C + Hyaluronic Acid + Vitamin K,0.5% + 3% + 10%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes"
19-24,Dry,Extreme Dry,No,Dark Spots,General,Licorice Extract + Alpha Arbutin + Niacinamide,5% + 2% + 0.5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,No,Dullness,General,Lactic Acid + Vitamin C + Hyaluronic Acid,1% + 0.5% + 10%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
19-24,Dry,Extreme Dry,No,Hyperpigmentation,General,Alpha Arbutin + Tranexamic Acid + Niacinamide,0.5% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,No,Open Pores,General,Niacinamide + Azelaic Acid + Salicylic Acid,2% + 5% + 1%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Redness,General,Centella Asiatica + Green Tea Extract + Niacinamide,0.5% + 8% + 3%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,No,Sun Tan,General,Niacinamide + Licorice Extract + Vitamin C,8% + 5% + 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
19-24,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,Zinc PCA + Niacinamide + Salicylic Acid,5% + 8% + 10%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Wrinkles,General,Peptides + Retinol + Niacinamide,0.5% + 3% + 1%,"Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Acne,Comedonal,Azelaic Acid + Niacinamide + Zinc PCA,2% + 5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Oily to Normal,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,5% + 0.5% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
19-24,Oily,Oily to Normal,Yes,Acne,Nodular,Niacinamide + Salicylic Acid + Benzoyl Peroxide,10% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
19-24,Oily,Oily to Normal,Yes,Acne,Cystic,Zinc PCA + Niacinamide + Salicylic Acid,3% + 5% + 8%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Vitamin C + Hyaluronic Acid + Vitamin K,10% + 1% + 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes"
19-24,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Vitamin C + Licorice Extract + Niacinamide,3% + 2% + 10%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Dark Spots,General,Kojic Acid + Vitamin C + Niacinamide,3% + 10% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Dullness,General,Vitamin C + Hyaluronic Acid + Niacinamide,1% + 10% + 5%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Alpha Arbutin + Vitamin C + Niacinamide,0.5% + 5% + 2%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Open Pores,General,Niacinamide + Clay + Azelaic Acid,10% + 5% + 3%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
19-24,Oily,Oily to Normal,Yes,Redness,General,Centella Asiatica + Niacinamide + Chamomile Extract,10% + 5% + 2%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Calms redness and irritation"
19-24,Oily,Oily to Normal,Yes,Sun Tan,General,Licorice Extract + Vitamin C + Niacinamide,2% + 3% + 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Niacinamide,1% + 0.5% + 5%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Wrinkles,General,Peptides + Hyaluronic Acid + Coenzyme Q10,3% + 8% + 1%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
19-24,Oily,Oily to Normal,No,Acne,Comedonal,Azelaic Acid + Benzoyl Peroxide + Salicylic Acid,10% + 2% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
19-24,Oily,Oily to Normal,No,Acne,Inflammatory,Benzoyl Peroxide + Azelaic Acid + Green Tea Extract,3% + 2% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Oily to Normal,No,Acne,Nodular,Azelaic Acid + Niacinamide + Zinc PCA,2% + 5% + 0.5%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Oily to Normal,No,Acne,Cystic,Azelaic Acid + Green Tea Extract + Niacinamide,0.5% + 1% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,No,Dark Circles,Pigmented,Caffeine + Hyaluronic Acid + Vitamin C,2% + 5% + 1%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Dark Circles,Vascular,Caffeine + Licorice Extract + Vitamin C,0.5% + 1% + 3%,"Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Dark Spots,General,Alpha Arbutin + Kojic Acid + Licorice Extract,5% + 3% + 8%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone"
19-24,Oily,Oily to Normal,No,Dullness,General,Green Tea Extract + Niacinamide + Vitamin C,3% + 5% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Hyperpigmentation,General,Niacinamide + Tranexamic Acid + Licorice Extract,3% + 8% + 10%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
19-24,Oily,Oily to Normal,No,Open Pores,General,Clay + Green Tea Extract + Niacinamide,2% + 0.5% + 5%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,No,Redness,General,Green Tea Extract + Centella Asiatica + Chamomile Extract,5% + 8% + 3%,"Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier, Calms redness and irritation"
19-24,Oily,Oily to Normal,No,Sun Tan,General,Licorice Extract + Alpha Arbutin + Vitamin C,1% + 0.5% + 2%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,Niacinamide + Salicylic Acid + Glycolic Acid,0.5% + 8% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
19-24,Oily,Oily to Normal,No,Wrinkles,General,Niacinamide + Hyaluronic Acid + Coenzyme Q10,0.5% + 3% + 8%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
19-24,Oily,Extreme Oily,Yes,Acne,Comedonal,Salicylic Acid + Zinc PCA + Azelaic Acid,2% + 5% + 0.5%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
19-24,Oily,Extreme Oily,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Green Tea Extract,0.5% + 2% + 5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Acne,Nodular,Green Tea Extract + Niacinamide + Zinc PCA,10% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Extreme Oily,Yes,Acne,Cystic,Zinc PCA + Azelaic Acid + Green Tea Extract,3% + 10% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,Vitamin K + Hyaluronic Acid + Licorice Extract,3% + 5% + 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,Yes,Dark Circles,Vascular,Licorice Extract + Caffeine + Hyaluronic Acid,3% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
19-24,Oily,Extreme Oily,Yes,Dark Spots,General,Kojic Acid + Vitamin C + Niacinamide,2% + 1% + 10%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,Yes,Dullness,General,Niacinamide + Lactic Acid + Green Tea Extract,1% + 8% + 5%,"Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Hyperpigmentation,General,Alpha Arbutin + Niacinamide + Vitamin C,2% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Oily,Extreme Oily,Yes,Open Pores,General,Azelaic Acid + Niacinamide + Salicylic Acid,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Oily,Extreme Oily,Yes,Redness,General,Chamomile Extract + Niacinamide + Green Tea Extract,10% + 1% + 0.5%,"Calms redness and irritation, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Sun Tan,General,Aloe Vera + Alpha Arbutin + Vitamin C,8% + 3% + 10%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
19-24,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,Salicylic Acid + Glycolic Acid + Zinc PCA,2% + 10% + 8%,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Controls sebum production"
19-24,Oily,Extreme Oily,Yes,Wrinkles,General,Retinol + Niacinamide + Peptides,3% + 1% + 2%,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
19-24,Oily,Extreme Oily,No,Acne,Comedonal,Benzoyl Peroxide + Salicylic Acid + Niacinamide,10% + 1% + 0.5%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Acne,Inflammatory,Azelaic Acid + Salicylic Acid + Benzoyl Peroxide,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
19-24,Oily,Extreme Oily,No,Acne,Nodular,Benzoyl Peroxide + Azelaic Acid + Niacinamide,8% + 10% + 2%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Acne,Cystic,Salicylic Acid + Niacinamide + Azelaic Acid,8% + 3% + 0.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
19-24,Oily,Extreme Oily,No,Dark Circles,Pigmented,Hyaluronic Acid + Niacinamide + Licorice Extract,10% + 1% + 0.5%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,No,Dark Circles,Vascular,Vitamin C + Niacinamide + Hyaluronic Acid,3% + 2% + 8%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
19-24,Oily,Extreme Oily,No,Dark Spots,General,Vitamin C + Alpha Arbutin + Niacinamide,8% + 2% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Dullness,General,Hyaluronic Acid + Green Tea Extract + Lactic Acid,10% + 1% + 2%,"Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
19-24,Oily,Extreme Oily,No,Hyperpigmentation,General,Vitamin C + Niacinamide + Tranexamic Acid,8% + 5% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Oily,Extreme Oily,No,Open Pores,General,Clay + Green Tea Extract + Salicylic Acid,2% + 3% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
19-24,Oily,Extreme Oily,No,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide,0.5% + 2% + 5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Sun Tan,General,Niacinamide + Alpha Arbutin + Licorice Extract,8% + 2% + 1%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,Zinc PCA + Salicylic Acid + Willow Bark Extract,10% + 2% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores"
19-24,Oily,Extreme Oily,No,Wrinkles,General,Peptides + Hyaluronic Acid + Niacinamide,8% + 2% + 5%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Benzoyl Peroxide + Salicylic Acid + Zinc PCA,8% + 3% + 2%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,1% + 2% + 0.5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
